10,100,250,500,1000,2000
0.800,1.600,1.400,6.200,6.200,10.000
3.200,1.200,1.600,7.200,8.800,12.200
1.800,3.600,2.600,5.800,5.600,13.200
3.200,1.600,2.800,4.800,10.200,9.800
2.000,1.600,1.600,3.600,4.600,13.400
1.200,1.200,3.800,1.400,1.200,3.000
