20,40,60,80,100,120,140,160,180,200
1133.000,1359.800,1401.760,1415.552,1417.110,1414.022,1416.204,1413.841,1415.568,1410.314
1138.200,1363.040,1404.808,1411.762,1420.152,1414.430,1414.086,1415.017,1413.603,1406.321
1139.400,1363.880,1406.376,1411.275,1417.455,1421.691,1413.138,1417.028,1421.006,1407.201
1144.600,1365.520,1398.504,1407.101,1415.820,1410.964,1418.793,1410.559,1415.312,1404.662
1138.600,1364.320,1405.264,1418.853,1416.971,1415.194,1412.639,1409.128,1410.226,1409.845
1139.000,1364.800,1404.360,1414.872,1413.574,1413.715,1419.543,1418.309,1414.662,1407.932
1145.400,1361.480,1411.896,1416.179,1416.836,1417.967,1415.993,1414.599,1411.920,1409.384
1145.200,1359.040,1401.408,1408.482,1414.096,1414.619,1414.924,1412.185,1411.637,1407.527
1146.000,1370.000,1404.400,1412.080,1411.016,1411.803,1410.361,1415.472,1405.694,1420.939
1145.200,1365.440,1400.888,1410.178,1410.636,1411.327,1408.265,1410.453,1410.491,1413.498
