20,40,60,80,100,120,140,160,180,200
38.600,52.920,68.384,71.877,69.175,78.835,92.167,99.033,93.607,98.321
30.600,55.720,61.344,76.069,83.614,86.723,82.745,95.749,95.150,95.030
36.400,54.880,61.376,69.875,81.375,94.675,89.735,98.147,99.229,102.646
33.400,46.880,63.976,68.995,75.199,86.040,89.408,91.682,94.936,100.987
36.600,51.320,70.464,78.093,79.219,80.844,89.569,97.314,99.463,99.493
33.000,46.000,66.600,77.920,80.384,84.077,91.815,93.763,104.753,106.951
34.800,48.560,69.912,81.182,82.436,88.087,99.017,99.403,100.881,99.976
36.800,62.760,67.152,83.430,84.686,98.937,98.787,100.157,100.831,103.166
37.400,61.680,72.336,74.467,86.493,95.299,95.060,95.412,105.682,105.336
35.800,51.560,63.312,79.862,85.372,95.674,90.535,105.907,98.381,99.276
