20,40,60,80,100,120,140,160,180,200
0.159,0.188,0.194,0.196,0.184,0.155,0.137,0.106,0.092,0.085
0.151,0.182,0.194,0.201,0.188,0.192,0.178,0.174,0.159,0.122
0.146,0.175,0.187,0.196,0.186,0.180,0.188,0.182,0.161,0.178
0.151,0.175,0.191,0.195,0.187,0.180,0.174,0.164,0.177,0.173
0.150,0.179,0.169,0.185,0.192,0.185,0.174,0.185,0.178,0.182
0.145,0.173,0.172,0.184,0.181,0.179,0.177,0.189,0.181,0.181
0.159,0.180,0.179,0.187,0.182,0.183,0.182,0.168,0.169,0.175
0.153,0.169,0.179,0.193,0.190,0.182,0.189,0.178,0.185,0.175
0.148,0.180,0.187,0.187,0.182,0.174,0.186,0.189,0.178,0.191
0.142,0.167,0.184,0.182,0.185,0.180,0.194,0.187,0.178,0.168
